tx_id,day,payer_id,payer_name,payee_id,payee_name,amount,requested_amount,reason,domain,good,location,note
1,1,F_00121,Earth Daten Cooperative,P_00051,Yara Kowalski,5.155520960496765,5.155520960496765,labor_wage,labor,,Earth,Lohn; tx_tax=0.031
2,1,F_00121,Earth Daten Cooperative,P_00050,Malik Yilmaz,3.520846037632138,3.520846037632138,labor_wage,labor,,Earth,Lohn; tx_tax=0.021
3,1,F_00121,Earth Daten Cooperative,P_00091,Elena Yilmaz,5.139598025964071,5.139598025964071,labor_wage,labor,,Earth,Lohn; tx_tax=0.031
4,1,F_00121,Earth Daten Cooperative,P_00001,Lea Garcia,4.429439785370327,4.429439785370327,labor_wage,labor,,Earth,Lohn; tx_tax=0.027
5,1,F_00121,Earth Daten Cooperative,P_00114,Ravi Ito,4.538477452548519,4.538477452548519,labor_wage,labor,,Earth,Lohn; tx_tax=0.027
6,1,F_00122,Earth Daten Cooperative,P_00107,Samir Garcia,6.9405930775492655,6.9405930775492655,labor_wage,labor,,Earth,Lohn; tx_tax=0.042
7,1,F_00122,Earth Daten Cooperative,P_00066,Sofia Ito,4.506927335449109,4.506927335449109,labor_wage,labor,,Earth,Lohn; tx_tax=0.027
8,1,F_00122,Earth Daten Cooperative,P_00028,Aiko Okafor,4.617318461963111,4.617318461963111,labor_wage,labor,,Earth,Lohn; tx_tax=0.028
9,1,F_00122,Earth Daten Cooperative,P_00105,Hana Sato,5.381057775872307,5.381057775872307,labor_wage,labor,,Earth,Lohn; tx_tax=0.032
10,1,F_00122,Earth Daten Cooperative,P_00064,Tariq Sato,4.250168556487597,4.250168556487597,labor_wage,labor,,Earth,Lohn; tx_tax=0.026
11,1,F_00122,Earth Daten Cooperative,P_00103,Juri Rossi,3.8204321337070204,3.8204321337070204,labor_wage,labor,,Earth,Lohn; tx_tax=0.023
12,1,F_00123,Earth Finanz Cooperative,P_00101,Samir Hoffmann,4.327032850053905,4.327032850053905,labor_wage,labor,,Earth,Lohn; tx_tax=0.026
13,1,F_00123,Earth Finanz Cooperative,P_00056,Noah Hoffmann,5.579458880006602,5.579458880006602,labor_wage,labor,,Earth,Lohn; tx_tax=0.033
14,1,F_00123,Earth Finanz Cooperative,P_00024,Nia Garcia,4.3347996567258855,4.3347996567258855,labor_wage,labor,,Earth,Lohn; tx_tax=0.026
15,1,F_00124,Earth Infrastruktur Cooperative,P_00098,Nora Mensah,4.480502819481159,4.480502819481159,labor_wage,labor,,Earth,Lohn; tx_tax=0.027
16,1,F_00124,Earth Infrastruktur Cooperative,P_00004,Kian Dubois,3.6898105559231005,3.6898105559231005,labor_wage,labor,,Earth,Lohn; tx_tax=0.022
17,1,F_00124,Earth Infrastruktur Cooperative,P_00053,Eva Novak,3.642243341905485,3.642243341905485,labor_wage,labor,,Earth,Lohn; tx_tax=0.022
18,1,F_00124,Earth Infrastruktur Cooperative,P_00074,Mika Schmidt,4.658887945603076,4.658887945603076,labor_wage,labor,,Earth,Lohn; tx_tax=0.028
19,1,F_00124,Earth Infrastruktur Cooperative,P_00006,Jonas Okafor,4.628656897314068,4.628656897314068,labor_wage,labor,,Earth,Lohn; tx_tax=0.028
20,1,F_00124,Earth Infrastruktur Cooperative,P_00036,Eva Novak,4.114396070917973,4.114396070917973,labor_wage,labor,,Earth,Lohn; tx_tax=0.025
21,1,F_00124,Earth Infrastruktur Cooperative,P_00065,Ravi Ito,3.7570178051568948,3.7570178051568948,labor_wage,labor,,Earth,Lohn; tx_tax=0.023
22,1,F_00124,Earth Infrastruktur Cooperative,P_00023,Noah Ito,3.8471488933319202,3.8471488933319202,labor_wage,labor,,Earth,Lohn; tx_tax=0.023
23,1,F_00125,Earth Energie Cooperative,P_00040,Yara Schmidt,3.3951938146915634,3.3951938146915634,labor_wage,labor,,Earth,Lohn; tx_tax=0.020
24,1,F_00125,Earth Energie Cooperative,P_00084,David Hoffmann,4.9056671016075555,4.9056671016075555,labor_wage,labor,,Earth,Lohn; tx_tax=0.029
25,1,F_00125,Earth Energie Cooperative,P_00078,Samir Chen,3.5350566038346902,3.5350566038346902,labor_wage,labor,,Earth,Lohn; tx_tax=0.021
26,1,F_00125,Earth Energie Cooperative,P_00076,Ada Singh,3.766661485069995,3.766661485069995,labor_wage,labor,,Earth,Lohn; tx_tax=0.023
