actor_id,name,kind,location,sector,employer,employees,alltag,grundversorgung,vertrag,haftung,reserve,wallet_total,positive_money,health,stress,fatigue,trust,reputation,media_literacy,integrity,pressure,productivity,capital,skills,meta
PUBLIC_ZEMO,ZEMO Public Council / Öffentlicher Fonds,public,Earth,governance,,0,235743.5992357088,0,115278.07015601953,0,200000,551021.6693917284,551021.6693917284,0.85,0.25,0.2,0.65,1.0223645815647153,0.55,0.82,0.35,1.0,100.0,"{""finance"":0.8,""governance"":0.85}",{}
BANK_DELTA,Delta Clearing Bank,firm,Earth,finance,,0,25766.767614322376,0,0,0,180000,205766.76761432237,205766.76761432237,0.85,0.25,0.2,0.65,0.46700531349073204,0.55,0.7,0.45,1.15,250,"{""finance"":0.85,""governance"":0.55}","{""loans"":[],""target"":8}"
INSURANCE_MUTUAL,Mutual Risk & Life-Support Insurance,firm,Earth,finance,,0,109764.81319097948,0,0,0,150000,259764.81319097948,259764.81319097948,0.85,0.25,0.2,0.65,0.5001464123966387,0.55,0.76,0.36,1.05,210,"{""finance"":0.8,""health"":0.55,""space"":0.55}","{""pool"":100000,""target"":7}"
P_00001,Lea Garcia,person,Earth,agriculture,F_00312,0,398.87386046739266,43.51061902023472,0,0,57.432784332406875,499.81726382003427,499.81726382003427,0.024593610843483712,0.995,0.5401933193278275,1,0.8391829785684696,0.7593652407192536,0.5149326461961209,0.3263837936344719,0.7836423886676931,100.0,"{""consumption"":0.48399643462608244,""culture"":0.5978839849596915,""education"":0.3486303657900127,""energy"":0.5014654800448805,""environment"":0.36156560331134613,""finance"":0.4636529742427055,""food"":0.7159459270928554,""general"":0.5132385126063015,""governance"":0.3917091072924812,""health"":0.577897800271268,""infrastructure"":0.6126464514705794,""labor"":0.39348338407498973,""media"":0.31268802052010275,""space"":0.27369909140261667,""transport"":0.49134262726195516,""water"":0.5704331926389679}","{""education"":0.30407830016398074,""preferred_sector"":""agriculture""}"
P_00002,Mira Sato,person,Station,healthcare,F_00319,0,2209.9122055066696,60.42034853883943,0,0,14.688655509085573,2285.0212095545944,2285.0212095545944,0.025282959703032667,0.995,0.49349342012224706,1,0.8527876583006015,0.4434929458716529,0.8103993369935074,0.355843508236842,1.025201925697836,100.0,"{""consumption"":0.8613374073918185,""culture"":0.5663883648735437,""education"":0.8419090472796514,""energy"":0.577134119599246,""environment"":0.6926808275431575,""finance"":0.5163164769594879,""food"":0.41842562009873496,""general"":0.6446103504040573,""governance"":0.39130019451406234,""health"":0.36553800057162944,""infrastructure"":0.714192785655857,""labor"":0.709878108055485,""media"":0.7256146922850499,""space"":0.986982992870449,""transport"":0.7469472471880312,""water"":0.407598106824858}","{""education"":0.4825880910280094,""preferred_sector"":""media""}"
P_00003,Mira Novak,person,Moon,mining,F_00328,0,1209.7955083763852,59.61757140577198,0,-38.39522463250633,0.0,1231.0178551496508,1269.4130797821572,0.02367779017924712,0.9842183041901841,0.46788546218870164,1,0.6979364510609698,0.7259442632560347,0.7027621808256097,0.011437534242135061,0.8881406969742667,100.0,"{""consumption"":0.377684257351132,""culture"":0.2931527529354819,""education"":0.45817898951885616,""energy"":0.5655441748253777,""environment"":0.3607793600235548,""finance"":0.35357798409456226,""food"":0.5626831875501653,""general"":0.466349331981676,""governance"":0.586237751068024,""health"":0.3791733608865003,""infrastructure"":0.6230111940465474,""labor"":0.58488902908298,""media"":0.3721170827240807,""space"":0.532001040000589,""transport"":0.3332963557829549,""water"":0.8377746946857929}","{""education"":0.3931417018699379,""preferred_sector"":""media""}"
P_00004,Kian Dubois,person,Earth,water_utility,F_00312,0,2253.4574767661966,54.15378105179746,0,0,29.31634248173687,2336.927600299731,2336.927600299731,0.02461929822755951,0.995,0.43375315828449995,1,0.9026750337941205,0.5347385220431602,0.7911166360690949,0.294603391351939,1.0073748429126415,100.0,"{""consumption"":0.05285988706114658,""culture"":0.6543747335454668,""education"":0.33619876124913384,""energy"":0.5628541878866211,""environment"":0.363785462870459,""finance"":0.7082144705320617,""food"":0.40806938018205074,""general"":0.43223426842826457,""governance"":0.43625630926418296,""health"":0.34699027127142457,""infrastructure"":0.5235853873388346,""labor"":0.2516826087814813,""media"":0.545112293291423,""space"":0.26341815652069267,""transport"":0.5459885411594707,""water"":0.9074767147934373}","{""education"":0.5167298563273347,""preferred_sector"":""water_utility""}"
P_00005,Aiko Singh,person,Earth,data_network,F_00303,0,1661.167751992003,44.22447153721232,0,0,13.80688395579462,1719.19910748501,1719.19910748501,0.024274316763446994,0.995,0.43618255531471933,1,0.6178080956514854,0.4634902730918157,0.5135696512349043,0.4498159155696814,1.2462904324335906,100.0,"{""consumption"":0.7500313702362322,""culture"":0.7752878067889859,""education"":0.5318275288480796,""energy"":0.5809940984206469,""environment"":1.0149648363285255,""finance"":0.8224865140900579,""food"":0.7917664312566496,""general"":0.7807028532754821,""governance"":0.7186733749991105,""health"":0.8319655485083001,""infrastructure"":0.8812259034548225,""labor"":0.8988655413225289,""media"":0.8119704956599574,""space"":0.9125364552786028,""transport"":1.1039456273682247,""water"":0.6972389092085766}","{""education"":0.6135043198016071,""preferred_sector"":""healthcare""}"
P_00006,Jonas Okafor,person,Earth,construction,M_00339,0,363.8170830406063,43.143486155026544,0,0,11.009282147233996,417.96985134286683,417.96985134286683,0.026675298050061875,0.995,0.44150633842000403,1,0.8400932839600949,0.710774197683932,0.626449793563508,0.24208304650702422,1.042061339746318,100.0,"{""consumption"":0.19891988594890792,""culture"":0.21391830308176873,""education"":0.02,""energy"":0.2673114919134707,""environment"":0.22136047521301974,""finance"":0.4784816650915843,""food"":0.41067250956423296,""general"":0.25570698232218764,""governance"":0.4250374213647601,""health"":0.13189849151578506,""infrastructure"":0.4513311258531393,""labor"":0.1965394030684641,""media"":0.4366222300841201,""space"":0.3334686479757892,""transport"":0.2949743053869336,""water"":0.115725547303173}","{""education"":0.34623421223820594,""preferred_sector"":""construction""}"
P_00007,Lina Patel,person,Earth,water_utility,M_00336,0,1947.2837006817192,41.24209274018835,0,0,18.816288586183756,2007.3420820080912,2007.3420820080912,0.02415940733067401,0.995,0.39394242394965057,1,0.8076402892057849,0.44845340345193363,0.742482576222037,0.3836044652289522,1.1673251011158976,100.0,"{""consumption"":0.9613467338143674,""culture"":0.8097898993202981,""education"":0.8531019118054525,""energy"":0.8546451994862351,""environment"":1.0193905981375584,""finance"":0.4599122865316955,""food"":0.9082567928906925,""general"":0.8156510822599637,""governance"":0.6433865791294338,""health"":0.8040728353765535,""infrastructure"":0.9431548116847956,""labor"":0.6787059025008394,""media"":0.9734639061113528,""space"":1.0034947245230879,""transport"":0.8718959022650785,""water"":1.2514580791354535}","{""education"":0.48941133958386285,""preferred_sector"":""water_utility""}"
