actor_id,name,kind,location,sector,employer,employees,alltag,grundversorgung,vertrag,haftung,reserve,wallet_total,positive_money,health,stress,fatigue,trust,reputation,media_literacy,integrity,pressure,productivity,capital,skills,meta
PUBLIC_ZEMO,ZEMO Public Council / Öffentlicher Fonds,public,Earth,governance,,0,248358.48995997963,0,21750.547939766984,0,200000,470109.0378997466,470109.0378997466,0.85,0.25,0.2,0.65,0.8465274594790245,0.55,0.82,0.35,1.0,100.0,"{""finance"":0.8,""governance"":0.85}",{}
BANK_DELTA,Delta Clearing Bank,firm,Earth,finance,,0,108133.06259097737,0,0,0,180000,288133.06259097735,288133.06259097735,0.85,0.25,0.2,0.65,0.5,0.55,0.7,0.45,1.15,250,"{""finance"":0.85,""governance"":0.55}","{""loans"":[],""target"":8}"
INSURANCE_MUTUAL,Mutual Risk & Life-Support Insurance,firm,Earth,finance,,0,100936.89959550562,0,0,0,150000,250936.89959550562,250936.89959550562,0.85,0.25,0.2,0.65,0.5008974215160852,0.55,0.76,0.36,1.05,210,"{""finance"":0.8,""health"":0.55,""space"":0.55}","{""pool"":100000,""target"":7}"
P_00001,Lea Garcia,person,Earth,agriculture,F_00122,0,1123.4103857246662,14.242762008990834,0,0,57.432784332406875,1195.085932066064,1195.085932066064,0.6619413943029046,0.698655170272664,0,0.9100709094985795,0.8533329387682089,0.7524922614694957,0.5149326461961209,0.3263837936344719,0.7836423886676931,100.0,"{""consumption"":0.4789709729887737,""culture"":0.5978839849596915,""education"":0.3486303657900127,""energy"":0.5014654800448805,""environment"":0.3603633323396301,""finance"":0.46053448066054115,""food"":0.7159459270928554,""general"":0.5132385126063015,""governance"":0.39042382419753685,""health"":0.577897800271268,""infrastructure"":0.6111585765213061,""labor"":0.39632785692696015,""media"":0.3140576693868216,""space"":0.270149388503071,""transport"":0.49134262726195516,""water"":0.5704331926389679}","{""education"":0.30407830016398074,""preferred_sector"":""construction""}"
P_00002,Mira Sato,person,Station,healthcare,F_00131,0,557.8654861617257,31.24229357367906,0,0,14.688655509085573,603.7964352444903,603.7964352444903,0.6294216390438416,0.4404278477708124,0.03002476379460274,0.6333864784149582,0.7815948691319086,0.4323023634910537,0.8103993369935074,0.355843508236842,1.025201925697836,100.0,"{""consumption"":0.8588384951188981,""culture"":0.5650708950326243,""education"":0.8419090472796514,""energy"":0.577134119599246,""environment"":0.6950932875294666,""finance"":0.5163164769594879,""food"":0.4163932123239815,""general"":0.6446103504040573,""governance"":0.39130019451406234,""health"":0.3608759661651245,""infrastructure"":0.7117048352911383,""labor"":0.7092347131346909,""media"":0.7244898930782859,""space"":0.9857370253094472,""transport"":0.7457273027886739,""water"":0.4037675569519511}","{""education"":0.4825880910280094,""preferred_sector"":""media""}"
P_00003,Mira Novak,person,Moon,mining,F_00135,0,303.39705544835414,16.2005789481671,0,0,9.598920103347016,329.1965544998683,329.1965544998683,0.6979599528180003,0.6240999610285124,0.05842608888524195,0.8009772848205279,0.5480301824186719,0.7146280115033934,0.7027621808256097,0.011437534242135061,0.8881406969742667,100.0,"{""consumption"":0.3764617172082311,""culture"":0.2931527529354819,""education"":0.45510760818958035,""energy"":0.5655441748253777,""environment"":0.3595816658729567,""finance"":0.3505952534774509,""food"":0.5592740906259266,""general"":0.466349331981676,""governance"":0.5894073832042638,""health"":0.37565607841148385,""infrastructure"":0.6213639016930237,""labor"":0.5821304498005715,""media"":0.3698936282751791,""space"":0.532001040000589,""transport"":0.3332963557829549,""water"":0.8377746946857929}","{""education"":0.3931417018699379,""preferred_sector"":""water_utility""}"
P_00004,Kian Dubois,person,Earth,water_utility,F_00121,0,1168.6178523403698,24.885924040553576,0,0,29.31634248173687,1222.8201188626604,1222.8201188626604,0.7322454032597054,0.8155603620724625,0,0.8254623929737636,0.8681205053168939,0.5274381511705486,0.7911166360690949,0.294603391351939,1.0073748429126415,100.0,"{""consumption"":0.057349212282160306,""culture"":0.650119828484358,""education"":0.33185276983940115,""energy"":0.5628541878866211,""environment"":0.363785462870459,""finance"":0.7082144705320617,""food"":0.40806938018205074,""general"":0.43223426842826457,""governance"":0.4318645961380916,""health"":0.3442460629234122,""infrastructure"":0.5211706541754393,""labor"":0.2547027135459536,""media"":0.542455686710825,""space"":0.26341815652069267,""transport"":0.5459885411594707,""water"":0.9086081577092038}","{""education"":0.5167298563273347,""preferred_sector"":""water_utility""}"
P_00005,Aiko Singh,person,Earth,data_network,M_00155,0,941.7550521758786,24.63066325648168,0,0,13.80688395579462,980.1925993881549,980.1925993881549,0.6576160860494071,0.817771003344445,0,0.6785332309046928,0.5861921732262992,0.45925897191158627,0.5135696512349043,0.4498159155696814,1.2462904324335906,100.0,"{""consumption"":0.7512287030697021,""culture"":0.773639145062799,""education"":0.5296626261273654,""energy"":0.5809940984206469,""environment"":1.01340276981671,""finance"":0.8224865140900579,""food"":0.7903728517202342,""general"":0.7807028532754821,""governance"":0.7190624290696029,""health"":0.8319655485083001,""infrastructure"":0.8812259034548225,""labor"":0.8946845361680773,""media"":0.8119704956599574,""space"":0.9125364552786028,""transport"":1.1062572874801304,""water"":0.6972389092085766}","{""education"":0.6135043198016071,""preferred_sector"":""media""}"
P_00006,Jonas Okafor,person,Earth,construction,F_00124,0,1083.500945346764,13.875629143782664,0,0,11.009282147233996,1108.3858566377805,1108.3858566377805,0.65811834884494,0.8306470901597225,0,0.7572349190947963,0.8465040402879191,0.7026164139249502,0.626449793563508,0.24208304650702422,1.042061339746318,100.0,"{""consumption"":0.19628686853607785,""culture"":0.21074343949453966,""education"":0.022161240322830032,""energy"":0.2636723260207178,""environment"":0.22136047521301974,""finance"":0.4752793315476047,""food"":0.414255683379969,""general"":0.25570698232218764,""governance"":0.4250374213647601,""health"":0.12986670975251854,""infrastructure"":0.4513311258531393,""labor"":0.19311443877237447,""media"":0.4366222300841201,""space"":0.3334686479757892,""transport"":0.2949743053869336,""water"":0.11449095339578497}","{""education"":0.34623421223820594,""preferred_sector"":""construction""}"
P_00007,Lina Patel,person,Earth,water_utility,F_00121,0,1154.158346458528,11.974235728944457,0,0,18.816288586183756,1184.9488707736562,1184.9488707736562,0.711583686919601,0.7432569433968452,0,0.7708357205922575,0.784111444779573,0.44784745906580936,0.742482576222037,0.3836044652289522,1.1673251011158976,100.0,"{""consumption"":0.9613467338143674,""culture"":0.8097898993202981,""education"":0.8531019118054525,""energy"":0.8542151919084907,""environment"":1.0193905981375584,""finance"":0.4599122865316955,""food"":0.9082567928906925,""general"":0.8156510822599637,""governance"":0.6457209091351895,""health"":0.805814888365256,""infrastructure"":0.9407262272017851,""labor"":0.6768680195233563,""media"":0.9734639061113528,""space"":1.002555206501543,""transport"":0.8747089170487425,""water"":1.2491947671069068}","{""education"":0.48941133958386285,""preferred_sector"":""water_utility""}"
